,TimeSpent_minutes,Age_Range,humidity(%),Hour,TotalSpent_RM,Basket_colour,Pants_Colour,windspeed(km/h),Shirt_Colour,Day,temperature(Celcius),Body_Size,Dryer_No,Washer_No,Race
3165,58,29,92.0,12,20,5,5,6.0,10,7,26.0,2,7,3,3
53,40,38,77.0,22,14,3,2,7.0,9,2,27.0,0,8,3,3
3713,42,38,91.0,0,7,9,10,4.0,9,2,26.0,2,9,3,0
191,42,45,84.0,20,8,2,4,4.0,1,6,26.0,2,7,5,0
301,20,55,84.0,23,10,4,2,4.0,6,3,26.0,0,9,6,0
365,23,51,91.0,14,19,1,7,6.0,2,7,25.0,0,7,3,2
3083,34,46,79.0,2,19,2,2,6.0,6,7,27.0,1,9,4,1
102,37,55,69.0,14,10,3,10,8.0,8,4,28.0,1,8,4,0
1584,17,23,80.0,17,7,3,9,6.0,5,4,26.0,1,10,5,1
744,17,53,90.0,4,19,6,3,4.0,9,7,26.0,1,7,4,1
1268,37,20,75.0,9,17,2,8,4.0,5,3,27.0,1,8,5,0
2173,25,53,73.0,7,21,2,1,7.0,4,4,26.0,0,7,3,2
1942,20,41,69.0,21,17,8,8,12.0,6,6,29.0,2,10,3,2
2119,41,53,79.0,9,12,4,1,8.0,4,5,28.0,2,8,4,2
3898,11,42,80.0,3,15,3,1,7.0,5,5,28.0,2,7,6,3
1284,17,24,83.0,16,19,0,1,4.0,3,2,26.0,2,9,4,0
2081,43,27,87.0,23,20,7,11,6.0,1,1,26.0,0,8,4,3
1803,21,55,78.0,2,19,10,1,6.0,3,3,26.0,0,7,4,3
1206,40,38,85.0,15,20,1,6,6.0,8,5,25.0,1,10,3,1
374,57,45,91.0,17,10,6,1,4.0,8,1,26.0,1,9,4,0
2228,58,42,92.0,20,14,3,8,4.0,8,5,26.0,1,10,6,2
1496,27,48,89.0,10,15,3,9,5.0,2,2,26.0,0,9,3,1
291,54,43,84.0,21,21,1,10,4.0,2,3,26.0,2,9,5,1
3092,45,36,85.0,10,20,4,11,5.0,2,1,26.0,0,7,6,1
389,21,31,90.0,22,21,2,1,4.0,6,1,26.0,0,7,5,1
3572,16,55,85.0,18,9,0,1,6.0,4,7,26.0,2,7,4,3
3031,35,40,92.0,22,9,7,9,6.0,6,7,26.0,2,9,4,0
3038,21,60,84.0,11,11,0,0,5.0,2,7,27.0,1,7,4,1
3343,57,37,89.0,11,11,6,2,4.0,5,5,26.0,1,9,6,1
3429,14,33,88.0,19,20,3,0,4.0,9,6,27.0,0,9,4,1
1183,52,52,78.0,17,21,2,5,8.0,0,1,27.0,0,9,3,0
2092,32,36,88.0,2,9,7,1,5.0,3,6,26.0,2,7,5,0
3402,41,48,74.0,3,18,2,1,7.0,2,3,26.0,1,8,5,0
214,56,35,90.0,21,14,8,11,3.0,10,4,25.0,2,8,3,1
1016,43,20,87.0,6,7,9,5,5.0,5,7,27.0,0,7,6,0
2757,45,20,87.0,10,16,9,1,7.0,7,5,26.0,2,8,3,2
410,51,52,92.0,21,13,1,2,4.0,2,2,26.0,1,10,3,2
1777,12,43,87.0,15,17,10,11,8.0,3,7,26.0,1,7,6,3
2743,29,37,82.0,15,14,4,7,6.0,1,1,27.0,1,9,4,2
3774,59,33,90.0,8,14,0,2,3.0,3,1,25.0,1,9,6,0
832,42,54,86.0,22,10,2,1,4.0,8,1,26.0,1,7,3,2
179,14,51,85.0,15,7,0,2,6.0,6,6,27.0,0,8,3,1
690,23,39,90.0,3,19,2,4,4.0,4,7,26.0,1,10,6,1
2684,33,57,83.0,5,16,5,8,5.0,2,7,28.0,2,8,6,2
470,41,30,94.0,13,19,1,4,4.0,1,5,25.0,0,9,5,2
704,17,49,90.0,4,9,6,2,4.0,4,7,25.0,2,7,6,2
2223,31,47,86.0,3,13,6,11,4.0,8,5,26.0,2,9,3,3
2808,59,50,77.0,18,18,5,7,7.0,10,7,26.0,0,9,4,2
2817,39,53,86.0,0,18,6,1,5.0,6,7,27.0,2,9,6,0
1634,33,49,91.0,3,13,8,0,6.0,6,5,25.0,2,7,6,2
1075,16,35,73.0,14,8,8,0,6.0,9,4,26.0,0,10,5,1
3070,27,34,83.0,12,19,10,10,6.0,5,2,27.0,1,9,6,2
2218,59,29,90.0,15,17,1,3,6.0,3,4,26.0,2,8,4,0
1947,53,54,94.0,18,21,5,3,8.0,0,4,25.0,1,10,3,0
2486,12,34,86.0,7,15,8,5,4.0,3,7,27.0,1,8,5,0
63,27,33,78.0,23,8,6,2,9.0,6,2,27.0,0,10,5,2
769,35,53,90.0,4,11,2,5,4.0,6,7,25.0,0,8,6,1
2447,60,54,85.0,6,17,3,4,6.0,9,4,26.0,2,10,6,2
324,52,47,88.0,15,13,1,3,6.0,4,1,27.0,2,9,5,2
819,29,39,70.0,10,13,6,5,5.0,1,6,28.0,0,8,5,2
780,27,42,90.0,4,17,7,0,4.0,4,7,25.0,0,8,3,0
3008,31,24,74.0,6,12,9,3,6.0,2,3,27.0,0,7,5,0
1294,58,38,79.0,23,10,2,10,6.0,6,2,27.0,2,9,3,1
3337,13,36,86.0,6,16,3,6,4.0,2,1,26.0,0,10,6,1
2162,26,39,83.0,11,19,4,11,4.0,7,2,26.0,0,8,3,2
752,31,34,90.0,4,12,8,3,5.0,6,7,26.0,1,7,5,3
1067,34,55,87.0,5,7,0,10,5.0,2,7,26.0,0,9,5,2
3248,26,25,69.0,5,17,7,5,9.0,3,4,27.0,0,10,3,2
1041,34,36,86.0,3,11,7,3,4.0,4,1,26.0,1,8,4,0
1236,59,59,66.0,3,13,6,4,9.0,8,4,28.0,0,10,3,0
2994,48,42,93.0,13,17,4,10,4.0,8,7,25.0,1,10,4,0
1720,53,31,88.0,1,15,9,11,5.0,1,5,26.0,2,7,6,0
2380,49,27,78.0,6,9,2,8,6.0,9,1,26.0,0,7,5,1
716,55,46,90.0,4,11,0,2,4.0,1,7,26.0,1,9,4,3
1135,50,51,92.0,12,15,7,2,4.0,6,3,25.0,1,9,6,0
1164,39,54,80.0,18,19,4,10,5.0,0,4,26.0,1,9,3,2
2991,60,29,65.0,23,18,10,8,12.0,7,6,29.0,0,10,5,1
2772,46,23,71.0,17,11,0,10,14.0,1,7,29.0,1,8,4,3
550,13,48,88.0,1,16,6,2,5.0,2,6,26.0,0,9,4,0
1688,14,31,84.0,5,21,0,11,4.0,2,6,27.0,1,7,6,3
749,60,29,90.0,4,10,4,6,4.0,6,7,25.0,0,9,5,1
1678,48,41,73.0,10,21,10,3,7.0,2,4,26.0,1,8,6,3
2635,23,51,86.0,12,12,6,7,5.0,0,3,27.0,2,9,4,2
3533,32,39,83.0,22,14,0,2,7.0,2,2,26.0,1,9,4,0
2575,29,33,74.0,12,15,8,1,6.0,10,3,28.0,1,8,5,0
1459,55,20,81.0,9,8,3,1,6.0,7,2,27.0,0,9,6,1
2445,11,44,89.0,12,10,7,2,6.0,8,2,26.0,0,9,3,2
3598,22,21,87.0,20,14,10,2,6.0,6,7,26.0,2,7,6,2
3919,53,55,78.0,16,20,5,1,4.0,7,3,27.0,1,8,3,0
2265,50,23,87.0,15,14,1,10,4.0,0,1,26.0,0,7,3,3
842,52,32,77.0,16,14,2,1,6.0,9,3,26.0,1,7,4,0
3625,50,57,91.0,21,13,3,2,5.0,5,2,26.0,2,8,3,3
20,27,34,77.0,11,17,2,10,7.0,0,2,27.0,2,10,3,2
3723,13,31,80.0,15,17,6,8,6.0,10,4,26.0,0,10,4,3
879,12,53,76.0,20,11,3,3,6.0,6,7,26.0,1,8,3,1
2317,34,26,75.0,14,20,8,1,6.0,7,3,27.0,0,9,4,0
2411,56,26,79.0,0,21,5,0,7.0,1,7,26.0,1,10,5,3
3225,44,44,81.0,19,14,5,1,4.0,1,2,27.0,1,7,4,3
863,41,55,88.0,23,9,4,1,5.0,5,6,26.0,1,8,4,3
2329,11,36,94.0,20,10,7,6,4.0,0,7,25.0,0,8,6,2
3675,20,24,88.0,14,17,8,2,4.0,5,5,25.0,2,8,4,3
207,13,47,86.0,8,16,4,2,4.0,1,1,26.0,1,10,6,0
354,17,53,91.0,12,10,5,6,4.0,2,7,25.0,0,7,5,1
951,58,50,91.0,5,21,5,1,6.0,6,1,24.0,2,10,4,2
3704,52,41,85.0,8,20,9,2,3.0,10,7,26.0,1,8,6,3
3530,54,60,90.0,20,7,3,5,5.0,0,5,26.0,0,9,6,3
2904,14,26,87.0,14,20,10,10,6.0,3,4,26.0,0,10,6,3
3304,39,30,82.0,17,13,6,2,5.0,8,7,27.0,1,10,4,0
2694,47,53,85.0,16,17,3,3,4.0,5,6,27.0,2,8,3,0
2959,59,60,75.0,5,18,10,10,10.0,2,1,27.0,2,10,3,3
2540,55,54,80.0,20,12,6,8,8.0,7,3,28.0,2,8,5,2
1073,21,46,82.0,6,10,5,2,7.0,7,6,27.0,1,7,5,1
1159,59,51,89.0,3,10,3,1,3.0,0,1,25.0,1,8,3,1
58,56,29,77.0,22,21,6,1,7.0,8,2,27.0,2,8,5,2
1326,43,40,89.0,20,21,9,3,5.0,7,5,26.0,2,10,4,1
2877,55,53,90.0,15,20,3,5,6.0,4,4,26.0,0,8,5,2
2599,36,21,85.0,13,7,2,2,4.0,9,5,26.0,1,9,3,3
2654,55,60,90.0,17,20,4,6,4.0,8,4,26.0,1,8,5,1
1617,19,27,90.0,6,11,9,1,5.0,7,5,26.0,2,7,6,1
1238,57,32,89.0,18,17,9,3,5.0,1,1,26.0,0,9,3,0
2631,29,39,79.0,1,21,4,6,5.0,7,1,28.0,0,8,4,0
2946,25,42,65.0,22,10,10,1,14.0,2,7,30.0,1,9,3,0
1832,27,18,83.0,5,13,2,9,5.0,7,2,26.0,0,8,3,1
3606,58,58,87.0,22,13,4,10,4.0,7,7,27.0,0,8,3,2
1771,60,43,85.0,20,21,0,7,5.0,0,5,26.0,0,7,4,3
1364,36,34,89.0,9,7,6,4,4.0,9,1,25.0,2,7,5,0
2338,50,26,85.0,2,13,6,0,4.0,3,7,26.0,0,10,6,3
2978,49,41,87.0,4,7,7,2,5.0,8,5,26.0,2,9,5,0
2803,28,25,83.0,19,10,10,6,4.0,9,6,28.0,2,7,6,2
2423,33,24,79.0,19,16,10,4,6.0,3,7,28.0,0,9,6,2
2839,26,42,86.0,1,15,2,4,4.0,7,5,26.0,0,7,3,3
2678,28,30,88.0,0,20,9,5,5.0,3,5,26.0,2,7,3,2
3091,59,27,83.0,10,18,5,11,5.0,3,2,27.0,1,9,4,2
1068,22,40,72.0,11,14,0,1,5.0,5,5,29.0,0,9,5,1
1365,49,38,72.0,0,17,2,4,9.0,7,7,28.0,0,9,3,2
147,17,28,85.0,0,21,6,10,6.0,0,6,27.0,0,9,3,0
3514,57,23,88.0,8,7,7,0,5.0,0,5,26.0,2,8,3,2
3233,48,38,89.0,0,11,4,3,7.0,0,4,26.0,2,10,3,3
3748,43,41,87.0,7,15,2,3,4.0,2,7,27.0,2,8,3,0
3302,36,26,86.0,3,11,3,11,8.0,4,3,26.0,0,8,6,1
3508,12,58,84.0,23,18,6,5,5.0,7,1,26.0,1,7,5,2
2462,18,55,87.0,22,16,7,1,5.0,6,5,26.0,2,9,4,2
1820,19,37,78.0,8,9,2,1,6.0,8,3,26.0,1,8,5,2
452,21,47,90.0,23,18,6,1,5.0,0,4,26.0,0,8,6,1
3571,15,40,74.0,23,14,6,1,7.0,6,6,28.0,0,8,5,1
2077,56,47,69.0,17,10,1,8,6.0,3,3,28.0,2,7,6,0
3758,54,51,94.0,1,20,4,2,3.0,2,4,25.0,2,8,6,1
192,50,54,83.0,20,14,6,8,6.0,1,6,27.0,2,7,3,0
1622,38,37,86.0,7,8,10,7,6.0,5,3,26.0,0,10,3,2
1038,60,37,87.0,15,19,9,8,5.0,2,4,27.0,2,7,5,2
1769,19,21,94.0,9,14,5,10,3.0,1,4,25.0,0,8,6,0
2494,41,31,84.0,17,14,9,0,6.0,2,7,27.0,2,8,6,1
1626,41,27,85.0,3,15,8,10,5.0,2,1,26.0,0,8,6,3
3277,22,35,83.0,21,9,9,11,5.0,1,3,27.0,0,9,3,2
2655,33,41,89.0,19,21,6,2,4.0,2,6,26.0,0,7,5,3
2761,20,36,72.0,14,7,5,4,7.0,3,4,28.0,2,9,6,1
1303,49,59,85.0,2,20,4,9,5.0,8,1,26.0,1,9,6,0
626,55,35,88.0,15,10,2,2,4.0,6,6,26.0,2,9,5,2
1949,49,27,88.0,2,14,10,3,7.0,1,2,26.0,1,9,4,1
2863,15,57,89.0,21,13,6,7,6.0,6,7,27.0,2,10,5,0
3244,45,23,74.0,19,18,1,8,5.0,9,6,29.0,1,9,4,0
2441,32,40,84.0,6,21,3,6,4.0,0,6,27.0,1,7,4,3
974,16,19,86.0,13,12,2,4,5.0,4,4,27.0,0,7,5,2
3980,47,41,88.0,12,21,1,7,4.0,2,7,26.0,0,9,4,3
3740,18,36,87.0,20,16,10,10,4.0,1,7,27.0,1,9,5,1
150,28,39,86.0,6,15,0,2,4.0,5,6,26.0,1,9,6,1
3118,60,30,85.0,6,11,0,3,7.0,7,1,27.0,1,10,3,0
1753,27,38,86.0,6,7,7,7,4.0,6,1,26.0,0,10,6,0
3841,14,23,72.0,23,20,5,4,9.0,5,7,28.0,2,8,6,1
3341,27,26,77.0,5,8,7,2,5.0,8,3,26.0,2,8,5,1
3880,33,27,89.0,23,7,8,11,3.0,0,1,25.0,0,10,4,3
3210,46,41,73.0,14,11,6,3,5.0,3,2,27.0,1,9,5,1
484,12,49,94.0,17,8,2,9,4.0,2,5,25.0,1,7,3,2
1701,45,57,76.0,0,12,6,11,5.0,1,6,27.0,1,8,3,1
1469,49,58,92.0,0,16,3,7,5.0,3,3,25.0,1,7,6,0
3936,40,36,74.0,18,13,2,2,6.0,1,2,28.0,2,7,6,2
649,18,55,88.0,23,18,7,2,4.0,1,6,26.0,1,8,6,2
1721,58,49,82.0,1,14,2,2,5.0,8,3,27.0,0,10,6,1
3595,52,49,92.0,18,17,3,9,4.0,10,3,25.0,2,8,6,1
2464,48,39,79.0,0,9,5,10,6.0,2,4,27.0,0,9,4,1
3974,41,60,85.0,22,11,5,5,5.0,5,5,26.0,1,9,3,2
2495,26,20,84.0,10,9,6,0,5.0,4,2,27.0,2,7,3,1
3607,41,60,92.0,0,17,10,5,3.0,6,6,26.0,1,7,6,2
2766,24,34,91.0,5,12,8,8,5.0,5,6,26.0,2,7,4,2
1748,56,19,85.0,23,18,3,8,4.0,8,7,28.0,0,8,4,2
2827,30,45,86.0,3,18,8,0,4.0,2,5,26.0,2,10,4,2
1216,35,52,90.0,18,14,7,4,4.0,4,1,26.0,0,10,4,0
2440,58,18,88.0,14,16,0,1,7.0,0,2,26.0,1,10,3,3
3504,44,38,81.0,22,19,1,0,4.0,3,2,27.0,0,8,5,0
945,31,48,81.0,17,15,9,1,5.0,10,4,25.0,2,9,4,3
3932,36,25,78.0,20,12,8,8,5.0,8,3,28.0,0,7,3,0
72,41,29,72.0,11,16,0,8,9.0,10,3,27.0,1,8,5,0
1852,16,22,86.0,21,16,0,8,5.0,8,1,27.0,2,9,5,0
3095,47,29,79.0,9,19,9,0,7.0,8,6,27.0,2,9,5,2
458,47,44,94.0,8,21,6,1,5.0,6,5,25.0,0,9,4,1
3712,35,59,85.0,19,20,10,5,4.0,0,1,26.0,1,8,3,0
762,15,33,90.0,4,10,0,9,4.0,1,7,25.0,2,9,3,1
89,43,32,74.0,21,18,6,2,9.0,2,3,27.0,0,8,6,0
1697,15,32,69.0,6,11,5,7,12.0,10,6,29.0,2,8,3,3
3344,40,47,90.0,21,17,5,1,6.0,2,5,26.0,1,9,5,0
17,53,36,77.0,10,13,7,10,7.0,10,2,27.0,2,9,5,0
3702,31,18,91.0,19,18,0,3,4.0,2,5,25.0,0,10,6,3
2888,38,45,86.0,3,21,4,3,5.0,5,7,27.0,2,9,3,1
804,31,53,84.0,20,18,4,3,6.0,1,6,26.0,1,7,3,0
2261,34,55,87.0,21,14,3,9,6.0,10,3,26.0,0,7,6,2
3751,47,32,87.0,6,17,9,1,6.0,9,5,26.0,0,8,3,0
2360,26,46,87.0,21,20,7,11,5.0,4,7,26.0,2,10,4,0
1127,21,56,87.0,5,19,2,1,5.0,2,4,27.0,0,7,4,3
2714,54,48,92.0,14,16,0,9,6.0,6,7,26.0,1,9,4,2
838,60,47,70.0,10,21,4,5,6.0,3,3,28.0,0,10,3,0
1057,36,58,87.0,22,17,1,3,5.0,2,7,27.0,2,9,3,1
1286,33,32,85.0,2,21,0,8,6.0,9,7,26.0,1,7,6,0
864,17,57,93.0,3,11,8,3,4.0,8,5,25.0,0,7,5,0
3988,42,25,83.0,13,16,1,10,4.0,3,6,26.0,2,10,3,1
2190,25,31,83.0,15,13,0,7,6.0,1,1,26.0,1,8,5,3
2255,32,27,82.0,18,21,3,7,6.0,5,4,26.0,0,9,3,0
298,49,40,84.0,23,13,6,2,5.0,0,3,26.0,0,8,3,0
3236,31,43,88.0,15,13,5,1,5.0,4,4,26.0,1,7,4,0
1293,13,36,92.0,17,16,6,0,3.0,2,3,25.0,1,8,3,2
3701,43,42,83.0,14,7,6,4,7.0,0,2,26.0,0,10,3,1
2095,40,28,88.0,7,9,8,4,4.0,0,3,26.0,1,10,4,3
1061,30,24,75.0,0,11,2,1,5.0,2,5,28.0,0,7,4,2
1029,54,46,75.0,6,17,7,11,6.0,7,1,27.0,1,10,3,1
2928,25,32,83.0,14,11,3,10,9.0,9,3,27.0,1,10,6,2
3984,25,46,87.0,12,11,6,0,5.0,9,5,26.0,2,9,3,0
398,13,49,91.0,10,10,1,2,4.0,0,2,26.0,1,10,6,2
2799,45,57,89.0,0,7,6,5,5.0,7,6,26.0,0,9,4,3
2003,12,27,86.0,4,11,5,2,6.0,10,3,26.0,0,7,5,2
3305,48,23,89.0,13,20,2,0,3.0,3,1,25.0,2,10,5,2
2585,31,36,91.0,17,14,8,9,5.0,2,6,26.0,0,10,4,3
1726,47,30,91.0,19,18,2,7,4.0,8,6,26.0,0,9,4,3
3983,42,39,88.0,23,17,5,7,4.0,9,5,25.0,0,8,4,2
2671,30,57,87.0,10,8,8,3,5.0,2,1,26.0,1,10,6,0
395,35,45,91.0,23,17,0,1,4.0,8,1,26.0,2,9,3,1
94,58,55,71.0,9,9,1,2,6.0,10,4,28.0,1,8,4,0
3663,48,30,89.0,18,16,10,3,3.0,4,5,26.0,1,10,4,3
2901,15,24,91.0,13,19,9,10,5.0,5,6,26.0,1,10,5,3
3316,19,59,71.0,3,20,3,1,6.0,6,5,27.0,0,9,6,1
2293,40,49,87.0,6,14,10,4,6.0,9,1,26.0,2,9,4,3
2700,34,21,84.0,6,15,8,8,4.0,6,5,26.0,2,10,3,2
2021,44,47,86.0,18,15,6,11,4.0,5,5,26.0,0,9,3,2
2099,16,39,88.0,14,19,2,9,4.0,4,6,26.0,2,9,4,3
3506,34,19,88.0,5,15,5,1,5.0,5,2,26.0,2,10,4,3
2856,24,46,92.0,5,12,10,2,6.0,3,7,26.0,0,7,3,2
2837,49,54,85.0,13,20,9,2,6.0,9,7,27.0,0,9,6,2
1729,34,56,84.0,12,11,4,9,5.0,7,7,26.0,0,9,4,0
881,49,29,84.0,6,17,0,6,6.0,9,1,25.0,1,8,4,0
3998,26,18,72.0,0,7,2,1,11.0,1,7,28.0,0,10,6,2
3349,27,19,86.0,17,11,8,4,4.0,6,5,26.0,0,8,6,2
1431,20,38,73.0,22,17,1,0,5.0,8,1,28.0,0,8,3,3
661,41,37,89.0,0,21,1,2,5.0,3,7,26.0,1,10,5,3
3487,36,43,89.0,5,15,5,0,3.0,2,2,26.0,0,10,5,1
3860,25,60,90.0,22,9,9,7,6.0,3,2,26.0,2,9,6,3
2848,14,21,79.0,13,12,8,1,6.0,2,4,27.0,1,7,3,1
3030,40,20,83.0,21,7,1,7,5.0,4,3,28.0,0,10,6,3
317,12,28,86.0,10,9,6,2,6.0,6,6,26.0,0,7,3,0
1321,44,37,86.0,19,12,1,2,6.0,7,7,25.0,1,10,3,0
2820,28,48,81.0,6,7,0,1,7.0,10,3,27.0,0,10,3,0
2376,39,43,77.0,9,17,8,4,7.0,2,2,27.0,0,7,6,2
947,24,37,86.0,0,9,9,2,4.0,10,5,26.0,1,10,3,1
2918,20,20,74.0,13,18,0,3,6.0,5,3,27.0,2,10,4,2
770,18,41,90.0,4,7,6,0,4.0,6,7,25.0,0,7,6,1
1593,55,45,78.0,10,8,9,6,5.0,6,3,27.0,2,9,3,3
2142,43,37,88.0,15,11,2,2,5.0,0,4,26.0,0,9,5,2
3327,48,47,81.0,23,17,6,0,4.0,2,2,27.0,2,10,5,1
544,51,55,88.0,0,21,5,2,5.0,2,6,26.0,0,9,4,1
3852,28,24,88.0,5,9,6,9,5.0,4,7,26.0,1,8,5,2
1596,53,46,74.0,21,18,0,8,7.0,6,6,28.0,2,9,4,1
3161,18,45,75.0,15,9,9,10,10.0,10,5,29.0,1,8,4,3
1925,43,27,89.0,19,16,8,9,6.0,9,2,26.0,0,8,3,1
2108,25,48,89.0,23,10,8,0,5.0,1,4,26.0,1,7,3,3
1384,38,55,74.0,7,17,5,9,6.0,1,2,28.0,2,8,3,2
1429,20,41,90.0,16,19,1,5,5.0,0,5,26.0,1,7,4,2
635,56,38,88.0,19,14,4,2,5.0,0,6,25.0,2,10,6,2
1332,12,46,85.0,16,17,0,9,3.0,1,7,26.0,2,9,6,0
1181,54,53,89.0,8,12,5,1,4.0,6,4,26.0,2,7,3,1
2175,46,38,72.0,6,12,1,0,9.0,2,7,28.0,0,8,4,3
2843,55,41,88.0,15,16,4,8,6.0,8,5,26.0,1,7,5,2
108,46,38,73.0,20,9,2,11,6.0,2,4,27.0,0,8,5,1
2588,46,60,85.0,20,7,8,10,4.0,1,7,27.0,1,9,4,2
946,35,43,78.0,10,11,6,3,5.0,0,4,27.0,2,8,3,1
2568,60,45,92.0,18,14,8,2,3.0,7,6,26.0,1,7,5,3
1312,59,18,76.0,0,18,5,5,5.0,2,3,28.0,0,8,3,3
2706,49,55,86.0,11,16,7,2,7.0,4,2,26.0,2,8,6,2
2995,32,41,84.0,16,10,0,7,5.0,2,7,28.0,2,7,6,0
3143,17,18,77.0,19,15,8,3,5.0,8,6,27.0,1,9,3,0
3940,47,21,85.0,11,14,7,9,4.0,2,1,26.0,0,10,4,0
139,15,34,79.0,20,11,4,11,7.0,6,5,27.0,1,7,5,1
712,43,40,90.0,4,16,6,1,4.0,5,7,25.0,1,9,5,2
2281,18,55,83.0,9,13,10,7,5.0,8,2,26.0,2,9,5,2
287,27,29,84.0,21,17,2,10,4.0,5,3,26.0,2,7,5,1
1788,41,24,78.0,8,16,2,9,5.0,6,1,28.0,0,9,6,3
823,43,32,91.0,18,10,3,2,5.0,5,4,25.0,2,10,5,1
2170,57,21,81.0,0,13,5,1,4.0,1,2,27.0,0,10,6,2
1893,15,36,88.0,1,12,8,11,5.0,10,3,26.0,2,9,3,1
1869,48,34,87.0,23,14,10,4,6.0,5,1,26.0,0,7,5,0
3803,49,19,84.0,4,14,6,10,4.0,8,1,26.0,1,8,3,0
3142,34,58,80.0,3,14,0,7,6.0,3,7,28.0,1,7,5,2
1742,12,47,77.0,1,16,1,8,6.0,9,6,28.0,1,8,6,2
3196,11,29,87.0,9,21,8,1,6.0,5,7,27.0,1,9,5,2
2031,39,46,88.0,15,13,5,6,4.0,2,1,26.0,0,10,4,0
3494,56,26,92.0,21,11,9,2,3.0,2,6,26.0,0,9,3,1
1224,32,46,71.0,19,21,3,1,6.0,10,5,27.0,0,7,4,0
3205,16,48,91.0,18,15,5,1,4.0,4,5,26.0,2,9,5,0
1667,42,30,86.0,9,11,10,6,4.0,4,7,27.0,1,9,4,3
3054,37,51,84.0,20,19,10,2,7.0,3,4,28.0,1,9,6,3
2233,13,57,90.0,4,21,0,5,6.0,1,5,26.0,1,8,5,3
525,37,29,94.0,23,10,4,8,4.0,10,5,24.0,0,9,5,1
473,45,55,94.0,14,16,1,10,5.0,2,5,25.0,1,7,6,2
2593,36,51,84.0,16,13,4,3,7.0,8,1,27.0,2,8,5,1
506,31,32,94.0,21,18,3,6,4.0,2,5,25.0,1,10,3,2
2975,17,43,87.0,1,14,1,6,7.0,0,5,26.0,2,10,3,2
2790,57,50,89.0,1,21,1,2,4.0,2,5,26.0,1,10,6,2
1223,50,42,89.0,19,18,4,11,5.0,1,2,26.0,1,8,5,1
396,60,37,92.0,7,15,1,2,4.0,6,2,26.0,0,7,5,1
3735,50,20,92.0,16,18,3,7,3.0,6,6,26.0,2,8,5,0
515,20,44,94.0,22,7,3,4,5.0,5,5,25.0,1,7,3,2
1921,48,47,91.0,22,15,3,2,4.0,7,2,26.0,0,8,3,2
2374,18,25,92.0,7,7,8,8,3.0,5,6,26.0,1,8,4,0
3104,28,20,84.0,8,12,0,5,7.0,9,4,28.0,1,8,6,1
891,31,24,93.0,18,17,8,4,3.0,3,7,25.0,2,7,4,0
3611,26,55,80.0,14,12,1,11,7.0,4,5,28.0,0,10,4,0
1264,52,21,75.0,9,8,6,11,6.0,10,1,27.0,2,7,5,1
1714,60,32,83.0,8,21,0,6,5.0,0,7,27.0,1,10,5,3
