,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,rain_or_not,temperature(Celcius),humidity(%),windspeed(km/h),dateTime
10,2015-10-20,1900-01-01 03:07:16,malay,female,thin,45,no,no_kids,big,red,formal,pink,short_sleeve,grey,short,clothes,4,8,no,56,2,21,2.967033313,101.6523208,3,0,26.691666666666663,77.66666666666667,7.4875,2015-10-20 03:07:16
11,2015-10-20,1900-01-01 07:23:12,chinese,male,moderate,37,no,no_kids,big,blue,casual,brown,short_sleeve,yellow,long,clothes,4,8,no,22,5,18,2.962150972,101.7110964,3,0,26.791666666666668,77.75,7.4875,2015-10-20 07:23:12
12,2015-10-20,1900-01-01 07:23:12,malay,female,moderate,44,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,15,1,7,2.928768234,101.6912621,3,0,26.71666666666667,77.29166666666667,7.4875,2015-10-20 07:23:12
13,2015-10-20,1900-01-01 09:06:14,indian,male,moderate,32,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,3,9,yes,15,2,7,2.941112411,101.7132003,1,0,26.816666666666663,77.29166666666667,7.4875,2015-10-20 09:06:14
14,2015-10-20,1900-01-01 10:05:17,malay,female,moderate,55,yes,young,big,red,casual,brown,long sleeve,grey,long,clothes,3,8,yes,23,1,11,2.939276297,101.6442602,3,0,27.4875,74.66666666666667,9.1375,2015-10-20 10:05:17
15,2015-10-20,1900-01-01 10:41:35,chinese,male,thin,33,no,no_kids,big,brown,formal,white,long sleeve,brown,long,clothes,5,9,no,39,0,9,2.957245277,101.6766783,1,0,26.791666666666668,77.75,7.4875,2015-10-20 10:41:35
16,2015-10-20,1900-01-01 10:49:31,malay,female,thin,55,yes,toddler,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,46,2,11,2.970509739,101.6621115,1,0,26.629166666666663,77.66666666666667,7.4875,2015-10-20 10:49:31
17,2015-10-20,1900-01-01 10:57:47,malay,male,fat,36,yes,toddler,big,orange,casual,grey,short_sleeve,grey,long,clothes,5,9,no,53,3,13,2.921546642,101.6680438,1,0,26.816666666666663,77.29166666666667,7.4875,2015-10-20 10:57:47
18,2015-10-20,1900-01-01 11:13:26,malay,female,fat,55,yes,no_kids,big,blue,traditional,pink,long sleeve,orange,long,clothes,6,7,no,48,2,16,2.943176549,101.7346564,1,0,26.7625,77.29166666666667,7.4875,2015-10-20 11:13:26
19,2015-10-20,1900-01-01 11:19:20,malay,female,moderate,50,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,35,2,8,2.915475549,101.6616564,2,0,26.7625,77.29166666666667,7.4875,2015-10-20 11:19:20
20,2015-10-20,1900-01-01 11:27:26,indian,male,fat,34,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,27,5,17,2.943831439,101.6823814,1,0,26.816666666666663,77.29166666666667,7.4875,2015-10-20 11:27:26
21,2015-10-20,1900-01-01 11:27:57,chinese,male,moderate,53,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,15,3,19,2.934433738,101.7258593,1,0,26.616666666666664,77.29166666666667,7.4875,2015-10-20 11:27:57
22,2015-10-20,1900-01-01 11:28:43,malay,female,fat,38,yes,young,big,white,casual,red,short_sleeve,blue,long,blankets,3,7,no,16,2,17,2.967766774,101.6855821,1,0,26.691666666666663,77.66666666666667,7.4875,2015-10-20 11:28:43
23,2015-10-20,1900-01-01 13:36:46,chinese,female,thin,29,no,no_kids,small,white,casual,brown,short_sleeve,black,long,clothes,3,7,yes,54,3,10,2.951222745,101.7235245,3,0,26.729166666666668,77.75,7.4875,2015-10-20 13:36:46
24,2015-10-20,1900-01-01 12:10:46,chinese,female,moderate,44,no,no_kids,big,white,casual,white,short_sleeve,yellow,long,clothes,5,7,no,30,3,20,2.939402932,101.6633933,1,0,26.916666666666668,77.29166666666667,7.4875,2015-10-20 12:10:46
25,2015-10-20,1900-01-01 13:44:03,chinese,female,moderate,42,no,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,22,2,13,2.947776713,101.6978995,3,0,26.816666666666663,77.29166666666667,7.4875,2015-10-20 13:44:03
26,2015-10-20,1900-01-01 13:47:46,chinese,male,thin,41,no,no_kids,big,white,formal,black,short_sleeve,brown,long,clothes,6,9,no,50,3,18,2.9662059,101.6346878,1,0,27.25,75.79166666666667,9.1375,2015-10-20 13:47:46
27,2015-10-20,1900-01-01 14:39:57,chinese,male,thin,36,yes,young,small,red,casual,grey,short_sleeve,white,short,blankets,5,9,yes,20,0,13,2.966805235,101.691886,3,0,26.891666666666666,77.75,7.4875,2015-10-20 14:39:57
28,2015-10-20,1900-01-01 14:54:19,indian,male,fat,48,no,no_kids,big,purple,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,no,60,3,19,2.904241872,101.6693722,2,0,27.01666666666667,77.29166666666667,9.1375,2015-10-20 14:54:19
29,2015-10-20,1900-01-01 14:54:19,indian,male,thin,42,no,no_kids,big,blue,casual,black,short_sleeve,blue_jeans,long,clothes,6,9,no,34,3,12,2.953809463,101.6864277,1,0,26.82916666666667,77.75,7.4875,2015-10-20 14:54:19
30,2015-10-20,1900-01-01 15:26:05,malay,female,fat,32,no,no_kids,big,purple,casual,purple,short_sleeve,black,long,clothes,3,7,no,58,0,10,2.971703373,101.6786169,2,0,26.791666666666668,77.75,7.4875,2015-10-20 15:26:05
31,2015-10-20,1900-01-01 15:45:51,chinese,male,thin,40,yes,toddler,big,red,casual,pink,short_sleeve,white,short,clothes,5,9,yes,54,2,18,2.925992147,101.7259705,2,0,26.662500000000005,77.29166666666667,7.4875,2015-10-20 15:45:51
32,2015-10-20,1900-01-01 15:52:41,foreigner,male,moderate,39,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,8,no,43,5,17,2.94146915,101.7094355,1,0,26.8625,77.29166666666667,7.4875,2015-10-20 15:52:41
33,2015-10-20,1900-01-01 16:01:30,chinese,female,fat,55,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,58,2,11,2.959500865,101.7081422,2,0,26.82916666666667,77.75,7.4875,2015-10-20 16:01:30
34,2015-10-20,1900-01-01 16:34:06,chinese,male,thin,46,no,no_kids,big,red,casual,purple,short_sleeve,black,short,clothes,4,7,no,56,1,15,2.932691012,101.6432777,2,0,27.4875,74.66666666666667,9.1375,2015-10-20 16:34:06
35,2015-10-20,1900-01-01 18:14:37,malay,female,thin,46,no,no_kids,small,white,casual,white,short_sleeve,grey,short,clothes,6,10,no,16,1,20,2.943731299,101.7349606,1,0,26.7625,77.29166666666667,7.4875,2015-10-20 18:14:37
36,2015-10-20,1900-01-01 18:34:26,malay,male,fat,35,no,no_kids,big,blue,formal,white,short_sleeve,brown,short,clothes,4,7,yes,41,1,17,2.932445148,101.7365378,2,0,26.616666666666664,77.29166666666667,7.4875,2015-10-20 18:34:26
37,2015-10-20,1900-01-01 18:37:46,chinese,female,thin,35,no,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,31,3,9,2.938365035,101.7021395,2,0,26.8625,77.29166666666667,7.4875,2015-10-20 18:37:46
38,2015-10-20,1900-01-01 18:48:34,malay,female,moderate,41,no,no_kids,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,38,5,9,2.961409415,101.6954655,3,0,26.791666666666668,77.75,7.4875,2015-10-20 18:48:34
39,2015-10-20,1900-01-01 18:57:46,malay,female,fat,31,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,51,4,18,2.909508314,101.7448743,2,0,26.616666666666664,77.29166666666667,7.4875,2015-10-20 18:57:46
40,2015-10-20,1900-01-01 18:57:46,malay,female,fat,34,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no,23,1,18,2.920341513,101.7127793,3,0,26.8625,77.29166666666667,7.4875,2015-10-20 18:57:46
41,2015-10-20,1900-01-01 20:09:18,malay,female,fat,36,no,no_kids,big,blue,casual,grey,long sleeve,black,long,clothes,4,8,no,37,5,12,2.938475943,101.6852813,1,0,26.8625,77.29166666666667,7.4875,2015-10-20 20:09:18
42,2015-10-20,1900-01-01 20:21:03,malay,male,moderate,33,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,15,0,14,2.920208022,101.7141611,1,0,26.71666666666667,77.29166666666667,7.4875,2015-10-20 20:21:03
43,2015-10-20,1900-01-01 20:21:03,malay,male,fat,51,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,60,2,18,2.911034456,101.7459985,2,0,26.916666666666668,77.29166666666667,7.4875,2015-10-20 20:21:03
44,2015-10-20,1900-01-01 20:21:03,foreigner,female,moderate,46,no,no_kids,small,black,formal,grey,long sleeve,black,long,blankets,3,7,no,53,2,11,2.962275698,101.6918951,1,0,26.891666666666666,77.75,9.1375,2015-10-20 20:21:03
45,2015-10-20,1900-01-01 20:32:37,chinese,female,moderate,51,no,no_kids,big,purple,casual,red,long sleeve,red,long,clothes,6,8,no,35,5,21,2.932841078,101.6624616,2,0,26.962499999999995,77.29166666666667,9.1375,2015-10-20 20:32:37
46,2015-10-20,1900-01-01 20:44:46,indian,male,fat,43,no,no_kids,big,purple,casual,red,short_sleeve,black,short,clothes,5,7,no,50,5,14,2.938229596,101.7328228,1,0,26.816666666666663,77.29166666666667,7.4875,2015-10-20 20:44:46
47,2015-10-20,1900-01-01 20:48:32,malay,male,fat,28,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,39,2,11,2.922380929,101.687864,1,0,26.916666666666668,77.29166666666667,7.4875,2015-10-20 20:48:32
48,2015-10-20,1900-01-01 21:39:30,indian,male,moderate,49,no,no_kids,big,red,casual,yellow,short_sleeve,yellow,short,clothes,4,8,no,31,3,14,2.919551168,101.668476,3,0,26.962499999999995,77.29166666666667,7.4875,2015-10-20 21:39:30
49,2015-10-20,1900-01-01 21:44:10,indian,male,fat,48,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,5,10,no,32,5,11,2.916453312,101.7460087,2,0,26.962499999999995,77.29166666666667,7.4875,2015-10-20 21:44:10
50,2015-10-20,1900-01-01 21:05:59,chinese,female,fat,39,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,24,1,16,2.943119223,101.7154266,2,0,26.7625,77.29166666666667,7.4875,2015-10-20 21:05:59
51,2015-10-20,1900-01-01 22:04:52,indian,female,fat,42,no,no_kids,small,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,55,4,15,2.91001756,101.6719134,3,0,27.01666666666667,77.29166666666667,9.1375,2015-10-20 22:04:52
52,2015-10-20,1900-01-01 22:04:52,foreigner,male,moderate,54,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no,20,4,16,2.965581773,101.6384887,3,0,27.25,75.79166666666667,9.1375,2015-10-20 22:04:52
53,2015-10-20,1900-01-01 22:10:28,foreigner,male,thin,38,no,no_kids,big,pink,casual,green,short_sleeve,black,long,clothes,3,8,no,40,5,14,2.914720246,101.7026826,1,0,26.916666666666668,77.29166666666667,7.4875,2015-10-20 22:10:28
54,2015-10-20,1900-01-01 22:12:39,chinese,female,thin,39,no,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,15,2,13,2.94670685,101.727935,3,0,26.5625,77.29166666666667,7.4875,2015-10-20 22:12:39
55,2015-10-20,1900-01-01 22:18:01,malay,male,thin,53,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,43,4,16,2.968579156,101.6453175,3,0,27.15,75.79166666666667,9.1375,2015-10-20 22:18:01
56,2015-10-20,1900-01-01 22:20:42,malay,male,thin,29,yes,toddler,big,black,casual,white,short_sleeve,blue_jeans,long,clothes,3,10,no,31,0,18,2.921287496,101.6791926,1,0,27.01666666666667,77.29166666666667,9.1375,2015-10-20 22:20:42
57,2015-10-20,1900-01-01 22:24:54,indian,male,fat,43,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36,0,11,2.903208575,101.6367534,3,0,27.4875,74.66666666666667,9.1375,2015-10-20 22:24:54
58,2015-10-20,1900-01-01 22:24:54,indian,female,fat,29,yes,young,small,white,formal,brown,short_sleeve,blue,long,clothes,5,8,no,56,4,21,2.918987501,101.6855577,1,0,26.916666666666668,77.29166666666667,7.4875,2015-10-20 22:24:54
59,2015-10-20,1900-01-01 22:37:12,malay,female,thin,50,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44,0,14,2.920738346,101.7324981,1,0,26.816666666666663,77.29166666666667,7.4875,2015-10-20 22:37:12
60,2015-10-20,1900-01-01 22:52:52,malay,male,thin,51,no,no_kids,small,black,casual,black,short_sleeve,grey,long,clothes,3,9,no,33,5,15,2.92582691,101.7381869,2,0,26.7625,77.29166666666667,7.4875,2015-10-20 22:52:52
61,2015-10-20,1900-01-01 22:54:56,malay,male,thin,28,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,60,3,16,2.97132764,101.6818507,1,0,26.791666666666668,77.75,7.4875,2015-10-20 22:54:56
62,2015-10-20,1900-01-01 22:59:55,indian,female,moderate,55,yes,baby,small,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no,60,5,14,2.919032094,101.6630788,1,0,26.8625,77.29166666666667,7.4875,2015-10-20 22:59:55
63,2015-10-20,1900-01-01 23:08:44,indian,male,thin,33,no,no_kids,small,white,casual,white,short_sleeve,black,long,clothes,5,10,no,27,0,8,2.957446652,101.6609054,3,0,26.891666666666666,77.75,9.1375,2015-10-20 23:08:44
64,2015-10-20,1900-01-01 23:08:44,indian,male,moderate,49,no,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,38,3,21,2.929765556,101.685258,2,0,27.01666666666667,77.29166666666667,9.1375,2015-10-20 23:08:44
65,2015-10-20,1900-01-01 23:15:42,malay,male,thin,42,no,no_kids,small,red,casual,brown,long sleeve,yellow,long,blankets,4,8,no,24,3,19,2.943371984,101.7466686,2,0,26.816666666666663,77.29166666666667,7.4875,2015-10-20 23:15:42
66,2015-10-20,1900-01-01 00:04:56,malay,female,moderate,45,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,26,2,16,2.919387484,101.6704071,2,0,26.962499999999995,77.29166666666667,9.1375,2015-10-20 00:04:56
67,2015-10-21,1900-01-01 02:17:42,indian,male,thin,30,no,no_kids,big,white,casual,black,short_sleeve,white,short,clothes,6,7,no,13,2,13,2.92153352,101.6713196,1,0,27.041666666666668,74.45833333333333,9.291666666666666,2015-10-21 02:17:42
68,2015-10-21,1900-01-01 07:35:52,indian,male,fat,44,no,no_kids,small,blue,casual,blue,short_sleeve,white,short,clothes,4,8,no,17,3,10,2.910196243,101.6711649,1,0,27.066666666666663,74.45833333333333,9.291666666666666,2015-10-21 07:35:52
69,2015-10-21,1900-01-01 07:58:48,chinese,male,moderate,54,no,no_kids,big,white,casual,blue,short_sleeve,purple,long,clothes,3,7,no,53,0,14,2.965247798,101.6639004,3,0,27.0,74.83333333333333,7.675,2015-10-21 07:58:48
70,2015-10-21,1900-01-01 11:21:04,chinese,male,thin,43,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,11,3,18,2.929160659,101.7405425,2,0,26.941666666666663,74.45833333333333,7.675,2015-10-21 11:21:04
71,2015-10-21,1900-01-01 11:56:35,malay,male,thin,32,no,no_kids,small,purple,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,12,3,9,2.954092424,101.6897865,1,0,26.9,74.83333333333333,7.675,2015-10-21 11:56:35
72,2015-10-21,1900-01-01 11:56:35,malay,male,moderate,29,no,no_kids,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,41,5,16,2.957506738,101.6430859,1,0,27.320833333333336,72.41666666666667,9.291666666666666,2015-10-21 11:56:35
73,2015-10-21,1900-01-01 12:01:57,chinese,male,thin,40,no,no_kids,small,white,casual,red,short_sleeve,purple,long,clothes,3,9,yes,49,0,21,2.93563453,101.6424992,3,0,27.675,71.0,9.291666666666666,2015-10-21 12:01:57
74,2015-10-21,1900-01-01 12:01:57,chinese,male,thin,31,no,no_kids,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,25,1,10,2.919485995,101.6453034,3,0,27.475,70.91666666666667,7.675,2015-10-21 12:01:57
75,2015-10-21,1900-01-01 12:32:17,malay,female,thin,31,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,27,1,7,2.92845186,101.6737553,2,0,26.96666666666667,74.45833333333333,7.675,2015-10-21 12:32:17
76,2015-10-21,1900-01-01 12:44:01,chinese,male,thin,54,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,8,no,15,0,11,2.969405623,101.6598108,2,0,26.754166666666663,74.83333333333333,7.675,2015-10-21 12:44:01
77,2015-10-21,1900-01-01 13:04:37,malay,female,thin,46,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,6,10,no,60,2,21,2.936189794,101.7247492,1,0,26.666666666666668,74.375,7.675,2015-10-21 13:04:37
78,2015-10-21,1900-01-01 13:04:37,malay,male,moderate,46,no,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no,54,4,21,2.960194395,101.7175065,2,0,26.854166666666668,74.83333333333333,7.675,2015-10-21 13:04:37
79,2015-10-21,1900-01-01 14:18:47,chinese,female,fat,45,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,50,5,7,2.923278148,101.6872035,2,0,26.96666666666667,74.45833333333333,7.675,2015-10-21 14:18:47
80,2015-10-21,1900-01-01 14:30:07,malay,male,thin,38,yes,toddler,big,white,casual,grey,short_sleeve,black,long,clothes,3,7,no,12,1,7,2.916170107,101.650825,1,0,27.041666666666668,74.45833333333333,9.291666666666666,2015-10-21 14:30:07
81,2015-10-21,1900-01-01 14:32:50,malay,female,moderate,48,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,35,1,13,2.933630644,101.7161121,1,0,26.84166666666667,74.41666666666667,7.675,2015-10-21 14:32:50
82,2015-10-21,1900-01-01 14:51:37,chinese,female,thin,45,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,3,9,no,45,1,19,2.939977736,101.7336849,1,0,26.866666666666664,74.45833333333333,7.675,2015-10-21 14:51:37
83,2015-10-21,1900-01-01 15:05:32,malay,female,moderate,42,yes,toddler,big,blue,casual,purple,long sleeve,purple,long,blankets,4,8,no,48,0,12,2.96126395,101.6322195,1,0,27.375,72.41666666666667,9.291666666666666,2015-10-21 15:05:32
84,2015-10-21,1900-01-01 16:53:36,chinese,male,moderate,53,no,no_kids,small,white,casual,blue,short_sleeve,yellow,short,clothes,4,9,no,14,2,12,2.942903902,101.7007535,2,0,26.566666666666663,74.29166666666667,7.675,2015-10-21 16:53:36
85,2015-10-21,1900-01-01 19:35:17,malay,female,fat,40,no,no_kids,big,purple,casual,brown,long sleeve,brown,long,clothes,6,8,no,15,0,17,2.970403509,101.6312264,1,0,27.120833333333334,72.41666666666667,7.675,2015-10-21 19:35:17
86,2015-10-21,1900-01-01 19:35:17,malay,female,moderate,53,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,clothes,4,7,yes,26,5,16,2.940293857,101.6527689,2,0,27.066666666666663,74.45833333333333,9.291666666666666,2015-10-21 19:35:17
87,2015-10-21,1900-01-01 19:35:17,indian,male,fat,49,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no,48,0,7,2.906898887,101.6981818,1,0,26.64166666666667,74.29166666666667,7.675,2015-10-21 19:35:17
88,2015-10-21,1900-01-01 21:13:41,malay,male,thin,52,no,no_kids,big,black,traditional,purple,long sleeve,brown,long,clothes,6,10,no,55,1,13,2.957185786,101.7204164,1,0,26.454166666666666,74.79166666666667,7.675,2015-10-21 21:13:41
89,2015-10-21,1900-01-01 21:13:41,malay,male,thin,32,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no,43,4,18,2.90526394,101.6767583,1,0,27.041666666666668,74.45833333333333,9.291666666666666,2015-10-21 21:13:41
90,2015-10-21,1900-01-01 21:13:41,chinese,male,moderate,34,no,no_kids,big,blue,casual,yellow,short_sleeve,red,short,clothes,5,9,yes,50,3,13,2.906258654,101.6578782,1,0,26.96666666666667,74.45833333333333,7.675,2015-10-21 21:13:41
91,2015-10-21,1900-01-01 21:13:41,indian,male,thin,35,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,46,5,14,2.916636583,101.6540031,2,0,27.066666666666663,74.45833333333333,9.291666666666666,2015-10-21 21:13:41
92,2015-10-22,1900-01-01 07:31:47,malay,female,moderate,49,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,46,3,14,2.926865293,101.6613881,1,0,27.566666666666663,73.375,8.424999999999999,2015-10-22 07:31:47
93,2015-10-22,1900-01-01 09:19:35,malay,female,fat,33,no,no_kids,big,white,formal,blue,long sleeve,black,long,clothes,5,7,no,55,2,21,2.970452804,101.6702865,3,0,27.354166666666668,75.0,6.341666666666666,2015-10-22 09:19:35
94,2015-10-22,1900-01-01 09:19:35,malay,female,moderate,55,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,58,1,9,2.96568898,101.6499519,3,0,27.679166666666664,70.75,6.341666666666666,2015-10-22 09:19:35
95,2015-10-22,1900-01-01 09:48:38,chinese,female,moderate,31,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,36,0,14,2.956566257,101.6357485,1,0,27.979166666666668,70.83333333333333,8.424999999999999,2015-10-22 09:48:38
96,2015-10-22,1900-01-01 10:08:57,malay,male,moderate,55,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,37,5,21,2.935513585,101.629123,3,0,28.23333333333333,68.58333333333333,6.341666666666666,2015-10-22 10:08:57
97,2015-10-22,1900-01-01 10:50:38,malay,female,thin,49,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,55,3,19,2.959821806,101.7412559,1,0,27.454166666666666,75.0,6.341666666666666,2015-10-22 10:50:38
98,2015-10-22,1900-01-01 10:50:38,malay,male,thin,46,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,21,1,15,2.905601006,101.7392814,1,0,27.516666666666666,73.375,6.341666666666666,2015-10-22 10:50:38
99,2015-10-22,1900-01-01 13:14:43,foreigner,female,moderate,41,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,56,2,16,2.957273201,101.6710524,1,0,27.225,75.0,6.341666666666666,2015-10-22 13:14:43
100,2015-10-22,1900-01-01 13:17:51,malay,female,fat,35,no,no_kids,big,blue,formal,pink,long sleeve,black,long,clothes,3,7,no,36,3,17,2.966717465,101.6636236,3,0,27.354166666666668,75.0,6.341666666666666,2015-10-22 13:17:51
101,2015-10-22,1900-01-01 13:17:51,malay,male,fat,41,no,no_kids,big,purple,casual,green,short_sleeve,black,long,clothes,3,10,no,29,5,15,2.93177387,101.6399451,1,0,28.33333333333333,68.625,8.424999999999999,2015-10-22 13:17:51
102,2015-10-22,1900-01-01 14:38:23,malay,male,moderate,55,no,no_kids,small,pink,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,37,3,10,2.949095496,101.6319816,3,0,28.33333333333333,68.625,8.424999999999999,2015-10-22 14:38:23
103,2015-10-22,1900-01-01 15:10:04,malay,female,moderate,34,no,no_kids,small,pink,casual,red,short_sleeve,purple,long,clothes,4,7,no,20,2,15,2.937062467,101.7095382,3,0,27.516666666666666,73.375,6.341666666666666,2015-10-22 15:10:04
104,2015-10-22,1900-01-01 15:42:25,malay,female,fat,40,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,30,0,7,2.960587491,101.6462615,2,0,27.879166666666663,70.79166666666667,6.341666666666666,2015-10-22 15:42:25
105,2015-10-22,1900-01-01 18:42:40,indian,male,fat,44,no,no_kids,small,white,casual,purple,short_sleeve,grey,short,clothes,5,7,no,25,2,14,2.955890826,101.7137964,1,0,27.354166666666668,75.0,6.341666666666666,2015-10-22 18:42:40
106,2015-10-22,1900-01-01 19:48:07,chinese,male,thin,50,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,19,0,13,2.942284986,101.6978443,2,0,27.26666666666667,73.29166666666667,6.341666666666666,2015-10-22 19:48:07
